,target,ids,date,flag,user,text
926478,1,1755674352,Sun May 10 09:44:25 PDT 2009,NO_QUERY,lolacola89,@MopedEyes i love that song still! i found the cd of it that i bought when i was like 15 
977525,1,1833745417,Mon May 18 00:18:37 PDT 2009,NO_QUERY,candidcomments,"@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back "
1013361,1,1881307107,Fri May 22 04:16:15 PDT 2009,NO_QUERY,Brera4wl,Well all I can say is the English had better watch out cause the Scots girls are coming 
913437,1,1752617536,Sat May 09 22:26:29 PDT 2009,NO_QUERY,Appilicious,Hey guys I'm going to create an iPhone app that's a twitter client called Tweetilicious please @reply me your thoughts! 
818674,1,1553146227,Sat Apr 18 13:29:44 PDT 2009,NO_QUERY,KendraJae,they let me leave work  heading into Boston now to start drinking early
946635,1,1822757574,Sat May 16 20:19:01 PDT 2009,NO_QUERY,profundity_now,Totally got hit on by some guy at the open mic...and I'm kinda okay with that  (P.S. I also rocked.)
926052,1,1755541281,Sun May 10 09:24:14 PDT 2009,NO_QUERY,shawnee_dj,@chrishsleeps then i think you should come on msn 
826250,1,1556629577,Sat Apr 18 23:38:01 PDT 2009,NO_QUERY,Julianne430,the movie &quot;17 again&quot; was realllly cute 
800787,1,1467969736,Mon Apr 06 23:02:57 PDT 2009,NO_QUERY,emoducksunite, now I'm happy 
1043047,1,1957276202,Fri May 29 00:01:26 PDT 2009,NO_QUERY,TimEssary,"@Maddy4ever aweee...if I was home in Alabama, Id give you the biggest hug! "
964783,1,1827549537,Sun May 17 10:56:56 PDT 2009,NO_QUERY,domness,@splitjewel oh don't you worry ;) I've just added a new 'refresh' and 'more' button 
1020607,1,1882406317,Fri May 22 06:48:55 PDT 2009,NO_QUERY,Mandi_Davenport,@95wggc it's all in celebration of Caudill's birthday - Happy Birthday Brandon 
1005071,1,1880476791,Fri May 22 01:22:51 PDT 2009,NO_QUERY,InTheLittleWood,Good morning all! Just crawled out of my pit and what not... Just making sure I've got everything for my Fly FM show this afternoon 
964451,1,1827525676,Sun May 17 10:53:49 PDT 2009,NO_QUERY,NKANGEL74,@Irma18 LMAO!!! He is the King of the world  With the wind constantly breezing through him!
955925,1,1825122346,Sun May 17 04:26:38 PDT 2009,NO_QUERY,rubenerd,.@nn7 I will delete your draft in accordance with your wishes sir 
981182,1,1834090321,Mon May 18 01:35:27 PDT 2009,NO_QUERY,ccwharris,@Stickyplasters ta... appreciated 
957674,1,1825531372,Sun May 17 06:01:39 PDT 2009,NO_QUERY,Cinderfuzz,100th Update!  My clock has taken to giving me TWO minstrels every hour 
936325,1,1792963615,Thu May 14 00:51:52 PDT 2009,NO_QUERY,toosweet4rnr,[Kansas ï¿½ Dust In The Wind] rb@TuraSatana hey there  ? http://blip.fm/~68xo9
820115,1,1553616325,Sat Apr 18 14:44:55 PDT 2009,NO_QUERY,sierralink,"@Boogaloo1 ha ha yes, not THOSE films  x"
1029240,1,1932745334,Tue May 26 22:07:20 PDT 2009,NO_QUERY,Larked,@MovieSet  #Cannes  I blogged about your #Cannes experience yesterday.  New to all this. Safe journey home 
854760,1,1573442739,Tue Apr 21 01:11:30 PDT 2009,NO_QUERY,j2d3,bear with my nonsensical updates as i test and build @mretwt - also feel free to follow him and try out the service... it is working now 
863129,1,1677036495,Sat May 02 00:11:18 PDT 2009,NO_QUERY,Beanel_777,mastering the art of refilling my PEZ dispenser...... 
888683,1,1687371410,Sun May 03 08:31:09 PDT 2009,NO_QUERY,PoynterJones,"@autumnconfusion OMG!!!  You are so lucky O_O Waooww.  What do you expect, with his big hands ;) muahahhaaar *Winkwink*"
1012805,1,1881250155,Fri May 22 04:05:33 PDT 2009,NO_QUERY,Tish019,Just came home from @Patriizia's house. had fun.  haha.
992395,1,1835246339,Mon May 18 05:31:29 PDT 2009,NO_QUERY,Pantaryl,@ItsTimCox Thanks so much  I just really wanna hear his commentary! hahaha  I'm almost done watching all TV Whedon. I'm up to Spin t ...
856820,1,1573822163,Tue Apr 21 03:01:09 PDT 2009,NO_QUERY,goodwinmok,IB English World Lit 
871878,1,1678846113,Sat May 02 07:52:46 PDT 2009,NO_QUERY,bryanminear,"@arieliondotcom I pray that I never lie about anything, let alone something that petty  Thank you!"
812171,1,1548286972,Fri Apr 17 20:32:32 PDT 2009,NO_QUERY,nozila,VACATION!! Track meet at Bowdoin tomorrow then HOME! 
822128,1,1554433069,Sat Apr 18 16:59:06 PDT 2009,NO_QUERY,HeatherPark,@xoreds13 LOL. I got them for Monday!!! 
996246,1,1835853827,Mon May 18 06:53:16 PDT 2009,NO_QUERY,BigAndy82,@KhloeKardashian You look good already girl...but thats awsome! Committed to Fitness....me too 
1045619,1,1957572545,Fri May 29 00:55:27 PDT 2009,NO_QUERY,MissxMarisa,@tsarnick YES! Get some in my mouth while you're there? 
885879,1,1686595680,Sun May 03 06:04:10 PDT 2009,NO_QUERY,SimplePlan2k8,Seth MacFarlane's Cavalcade Of Cartoon Comedy is epic!!! A series of Family Guy cutaways! DVD out soon 
850984,1,1565649125,Mon Apr 20 07:14:54 PDT 2009,NO_QUERY,lisaduhart,working...doctor appointment today at 1:45...then back to spring cleaning 
900498,1,1694053159,Mon May 04 00:52:33 PDT 2009,NO_QUERY,hollysuel,@TheEngTeacher I did for years and then moved over to an IBM compatible.  Would love to have both on my desk!   Can you call me a techie?
890648,1,1688817071,Sun May 03 11:59:28 PDT 2009,NO_QUERY,aroussi,@JaredDay Good luck! 
914494,1,1752894621,Sat May 09 23:21:24 PDT 2009,NO_QUERY,courtney167,"playing guitar hero, waiting for Abby to text me after prom "
1024999,1,1883389314,Fri May 22 08:28:30 PDT 2009,NO_QUERY,jellysideb,"Busy busy busy, tdc in reverside,church school finals whooo' what a week  well were in a new one but just thought id share GOD is love ..."
814476,1,1550819534,Sat Apr 18 07:21:24 PDT 2009,NO_QUERY,maddielynn,"many congrats to the kimmels  beautiful wedding, great times"
829963,1,1557243585,Sun Apr 19 02:53:02 PDT 2009,NO_QUERY,Cornwall_Info,Some photos from Riverside Holiday Park and a video of a rabbit  Swimming pool looks fab! http://fti-bus.co.uk/blog/?p=267
1011224,1,1881078655,Fri May 22 03:31:38 PDT 2009,NO_QUERY,dkplewis,"@GaryJ I'm tempted to have a BSG-themed study, but I'd need to have less clutter and fresher paint to match Galactica's look "
866879,1,1677687781,Sat May 02 03:26:32 PDT 2009,NO_QUERY,la_to_the_rah,Ghosts of Girlfriends Past was pretty good   Tomorrow - Wedding!
1008738,1,1880829823,Fri May 22 02:39:19 PDT 2009,NO_QUERY,TracyDar,Is In Ict Next To The Legend Kayyytee Gara  Last Day &amp; Cant Wait For Holiday 
811024,1,1469954461,Tue Apr 07 07:55:05 PDT 2009,NO_QUERY,twonkism,@crazeegeekchick ppffttt... 100% first time! 
1048340,1,1958136124,Fri May 29 02:47:04 PDT 2009,NO_QUERY,hanamay,Trying a hard-case for blackberry. Hm..this is nice. 
893899,1,1692058994,Sun May 03 19:11:21 PDT 2009,NO_QUERY,Rhuffles,Playing omgpop wit my lil sis 
820753,1,1553832989,Sat Apr 18 15:20:03 PDT 2009,NO_QUERY,LadyDye53,"My 36 yr old daughter was baptized today @ our local convention.  I missed it-down w/the flu, Thank you Jehovah 4 the wonderful blessing "
892327,1,1691161033,Sun May 03 17:14:05 PDT 2009,NO_QUERY,crazyirishchick,"@StephanieLynn07 ok i can't avoid sleep anymore! i'll finish it in the morning, so it'll prob be up before you go to bed "
940909,1,1794072101,Thu May 14 04:52:39 PDT 2009,NO_QUERY,sdnative73,@DonnieWahlberg You look handsome as usual!   Keep it coming ddub!
860887,1,1676511079,Fri May 01 22:15:54 PDT 2009,NO_QUERY,bluray720p,"@SatansPuppet That's reassuring  any film with Kate in it should be OK, thanks"
975552,1,1833534333,Sun May 17 23:35:50 PDT 2009,NO_QUERY,yuna95,hello world!!i had joined twitter and im new here 
905991,1,1695251985,Mon May 04 05:38:58 PDT 2009,NO_QUERY,SolCanFly,Twitter you suck 
882824,1,1686028690,Sun May 03 03:22:32 PDT 2009,NO_QUERY,LiseMariee,@taylorswift13 http://twitpic.com/4gnlp - Woow  That's so cute 
973459,1,1833022326,Sun May 17 22:05:09 PDT 2009,NO_QUERY,ChrisMoody,@michaelspence I like it a lot  Fry's was a bit expensive on it (7 bucks for a 6 pack of 8oz bottle) but not sad I purchased it
926784,1,1755773319,Sun May 10 09:59:30 PDT 2009,NO_QUERY,shellcass,@Jodee2601 What is earth hour? Have you been travelling in space Jo?!!  xx
1039265,1,1956794204,Thu May 28 22:42:24 PDT 2009,NO_QUERY,kontamonsta,"@diefraktion Your song has been voted 'a hit' with 3 to 1 votes. Congratulations, it will be played on Monday again for a new vote "
955289,1,1825007397,Sun May 17 03:56:00 PDT 2009,NO_QUERY,camillebaltazar,i'm uploading the pictures 
898789,1,1693678945,Sun May 03 23:22:36 PDT 2009,NO_QUERY,detracxx,@facinta but at least u have iphone  hehe..eh so when's the planned FRIENDS catch up movie dinner date eh
1023895,1,1883097122,Fri May 22 08:00:12 PDT 2009,NO_QUERY,flatleaf,4 o'clock and im done!! cya laters!! 
1011722,1,1881129323,Fri May 22 03:41:56 PDT 2009,NO_QUERY,rahulvarshneya,@chhavi there you go again! 
900042,1,1693958278,Mon May 04 00:27:47 PDT 2009,NO_QUERY,jamisonbanham,@lexiphanic  cheap and good system  http://bit.ly/Fgl2Y
892788,1,1691343943,Sun May 03 17:39:08 PDT 2009,NO_QUERY,briannaG,"check out cgoldenstein everyone  that's my big bro, he's new on the twitter scene"
952754,1,1824508460,Sun May 17 01:41:08 PDT 2009,NO_QUERY,OUBad,I really should go to bed....having a small surprise party for Nate tomorrow. 
1027222,1,1932414060,Tue May 26 21:25:10 PDT 2009,NO_QUERY,SchwartzNow,"@barbonne Too much fine wine at a gourmet dinner, I suppose? I think not. You were up, enjoying it and, tomorrow, bring on the chocolates "
932833,1,1771210130,Mon May 11 23:33:37 PDT 2009,NO_QUERY,PrimaJess,had some phone trouble but im back!! 
888750,1,1687401319,Sun May 03 08:36:00 PDT 2009,NO_QUERY,runfromzelda,@_graace what did you want to tell me? call me no later than 3:15PM your time! preferably 3.  cus i'll be at lunch then. or text me! 
889979,1,1687899801,Sun May 03 09:51:55 PDT 2009,NO_QUERY,sosweetambie,"@mrskutcher its a great article, I love twitter way more than the other social networks. Much less invasive! "
834621,1,1558003380,Sun Apr 19 06:54:30 PDT 2009,NO_QUERY,jakelover11,sitting at home with my bff!!! 
998950,1,1836353832,Mon May 18 07:50:47 PDT 2009,NO_QUERY,DreeEllie,"why be anything else but happy, i'm happy when i'm not happy "
865966,1,1677538343,Sat May 02 02:37:08 PDT 2009,NO_QUERY,epredator,just love dizzy rascals sone bonkers. predlets keep singing it to. Almost a theme tune for #feedingedge 
985142,1,1834446937,Mon May 18 02:58:22 PDT 2009,NO_QUERY,alan_cheng,@BevClement not sure if I want to do that. He's got a lot of testimonials which is why I'm surprised. I'll email you his name instead 
862544,1,1676913009,Fri May 01 23:41:11 PDT 2009,NO_QUERY,gcrush,@croshane I&quot;m such a nerd   I like soul too!  yes yes that is the best!
814970,1,1550968016,Sat Apr 18 07:46:30 PDT 2009,NO_QUERY,Oceanpants,@chris_topai Thankyou 
1027852,1,1932526723,Tue May 26 21:38:58 PDT 2009,NO_QUERY,TaliEpelbaum,@Liishaa thanks! 
967802,1,1827808435,Sun May 17 11:29:30 PDT 2009,NO_QUERY,andrewsuw,"Oh man i wish shatner was in star trek, but hey nimoy was there!  check out the full movie: http://tr.im/lsSw"
864223,1,1677244886,Sat May 02 01:06:45 PDT 2009,NO_QUERY,davetran,woooo! you suck fev! what an awesome day 
838521,1,1559100823,Sun Apr 19 10:15:37 PDT 2009,NO_QUERY,deathbycliff,"is thinking today will be pretty good. I may be a little bored now, but it's all good "
936147,1,1792936308,Thu May 14 00:45:52 PDT 2009,NO_QUERY,digitalara,@pollymigyst I will be sleeping vicariously through you 
921495,1,1754201239,Sun May 10 05:23:32 PDT 2009,NO_QUERY,xoAlexHeartsxo,Happy Mothers Day to those in the US.... 
899798,1,1693915171,Mon May 04 00:17:00 PDT 2009,NO_QUERY,shortsweetaznqt,@BlakeBennetts I lost mine working this wknd! In bed now.  Giving up! Nite nite! 
849483,1,1565104633,Mon Apr 20 05:54:43 PDT 2009,NO_QUERY,m_csquare,"playin WE again with my cousin, he only beat me once "
846871,1,1564471299,Mon Apr 20 03:39:00 PDT 2009,NO_QUERY,inaghita,@nigelonthenet @Al_Furlong @kazzylady @sojisan Do you ever feel that some of those twitter tips are always the same?  http://ff.im/-2eBDH
875270,1,1680349125,Sat May 02 11:28:36 PDT 2009,NO_QUERY,karenswim,"@GetResults and @soniasimone it will actually be a public service, I've been ahem slightly cranky! "
976665,1,1833656744,Mon May 18 00:00:29 PDT 2009,NO_QUERY,honghanhlavy,"@tomriddlex &quot;Khï¿½ng ?i khï¿½ng bi?t Cï¿½n Lï¿½n, cï¿½i gï¿½ c?ng cï¿½ cï¿½i ?n thï¿½ khï¿½ng&quot; (lï¿½o Tï¿½m ?i ?i Cï¿½n ??o ch?i ?eeee) "
839643,1,1559483823,Sun Apr 19 11:15:37 PDT 2009,NO_QUERY,MirkleyJo,dont forget the toothbrush 
823658,1,1556039401,Sat Apr 18 21:27:07 PDT 2009,NO_QUERY,CupcakeQueen13,@DonnieWahlberg read this..please  from @lovinjk4ever http://tinyurl.com/cydhs6
967526,1,1827787091,Sun May 17 11:26:45 PDT 2009,NO_QUERY,chriswoodWJW,Its a beautiful day 
1004672,1,1880439043,Fri May 22 01:14:44 PDT 2009,NO_QUERY,aaronbassett,"My Droplet from @JamFactory arrived today! All excited, thanks Gavin "
935519,1,1792770528,Thu May 14 00:11:14 PDT 2009,NO_QUERY,karin_tillotson,@mgillet not telling 
867436,1,1677778244,Sat May 02 03:56:32 PDT 2009,NO_QUERY,BabyGirlJessica,"I got a huge escrow refund check yesterday, after breakfast this morning, me going shopping for some pretty new clothes. I can't wait! "
929150,1,1759892302,Sun May 10 20:11:29 PDT 2009,NO_QUERY,iHeartJB,@David_Henrie is very hot ;p I told you that in NYC when you came and you smiled at me. Totally made my day 
972326,1,1832378478,Sun May 17 20:42:32 PDT 2009,NO_QUERY,BobIsTheNewBob, My new wallpaper is LxLight based! From Deathnote if you didn't know.... &gt;.&lt;&quot;
922817,1,1754523543,Sun May 10 06:33:45 PDT 2009,NO_QUERY,grandpoohbahh,wishing everyone a Happy Mother's Day! 
810610,1,1469817368,Tue Apr 07 07:30:25 PDT 2009,NO_QUERY,nmitch,is glad to wear red instead of powder blue today. Want to avoid hostile looks in Sooner country. 
996659,1,1835937964,Mon May 18 07:03:14 PDT 2009,NO_QUERY,degrassi_kayla,absolutely loved gossip girl last night 
1006642,1,1880627397,Fri May 22 01:55:19 PDT 2009,NO_QUERY,OscarTG,@ramdomthoughts the only crack I've ever had is in my wall 
829251,1,1557148637,Sun Apr 19 02:17:35 PDT 2009,NO_QUERY,rocknrolls,@xlxblondiexlx wow thats a first 
842635,1,1563717385,Sun Apr 19 23:57:44 PDT 2009,NO_QUERY,tasshh,"@shotdown oh ok, thanks hun! "
846288,1,1564367543,Mon Apr 20 03:08:42 PDT 2009,NO_QUERY,remko,"@dwd Haha, now I get it. I thought it was spam at first "
1021754,1,1882638801,Fri May 22 07:13:41 PDT 2009,NO_QUERY,felicityfuller,have to tell everyone  - my daughter got the job - she is SO excited lol BUBBLY for everyone lol 
827533,1,1556876523,Sun Apr 19 00:47:27 PDT 2009,NO_QUERY,Angelo85,@sunshine_ Thank you Sunshine  What happened to you btw? It's been ages since you've been in Twitterland.
1024315,1,1883221391,Fri May 22 08:12:12 PDT 2009,NO_QUERY,nonstick,@vdotw Let's just hope the smell is not because they haven't bathed since you left. 
973663,1,1833210612,Sun May 17 22:36:08 PDT 2009,NO_QUERY,joshmfnjones,About to fuckin sleep. Another week of HELL. I just wanna graduate already :/ Summer you are almost here 
1002803,1,1880247589,Fri May 22 00:35:02 PDT 2009,NO_QUERY,bannersrus,@hjmart same to you 
832285,1,1557569593,Sun Apr 19 04:53:40 PDT 2009,NO_QUERY,Mcflylover94xx,@dougiemcfly http://twitpic.com/3emay - I love you Danny!!!!!!!!!!  xx
1014112,1,1881395619,Fri May 22 04:32:19 PDT 2009,NO_QUERY,clarewalpole,"@hubmum just the thought of those needles makes me feel woozy, well done you! Get your flights booked for August  x"
1010951,1,1881049934,Fri May 22 03:25:42 PDT 2009,NO_QUERY,naomijlea,"@salandpepper morning? at least you they know what the pain is, they can fix it then thats good news yes?   x"
